Vertices: 140, Density: 0,3, Algorithm: BFS, Structure: Matrix: 479,5608050000001 milliseconds
Vertices: 140, Density: 0,4, Algorithm: BFS, Structure: Matrix: 631,666385 milliseconds
Vertices: 140, Density: 0,5, Algorithm: BFS, Structure: Matrix: 786,64233 milliseconds
Vertices: 160, Density: 0,1, Algorithm: BFS, Structure: Matrix: 302,89152500000006 milliseconds
Vertices: 160, Density: 0,2, Algorithm: BFS, Structure: Matrix: 560,912705 milliseconds
Vertices: 160, Density: 0,3, Algorithm: BFS, Structure: Matrix: 812,385305 milliseconds
Vertices: 160, Density: 0,4, Algorithm: BFS, Structure: Matrix: 1078,0780049999998 milliseconds
Vertices: 160, Density: 0,5, Algorithm: BFS, Structure: Matrix: 1332,0973500000002 milliseconds
Vertices: 180, Density: 0,1, Algorithm: BFS, Structure: Matrix: 468,487745 milliseconds
Vertices: 180, Density: 0,2, Algorithm: BFS, Structure: Matrix: 886,0058549999998 milliseconds
Vertices: 180, Density: 0,3, Algorithm: BFS, Structure: Matrix: 1297,3353049999998 milliseconds
Vertices: 180, Density: 0,4, Algorithm: BFS, Structure: Matrix: 1699,02112 milliseconds
Vertices: 180, Density: 0,5, Algorithm: BFS, Structure: Matrix: 2107,19838 milliseconds
Vertices: 200, Density: 0,1, Algorithm: BFS, Structure: Matrix: 701,5251450000001 milliseconds
Vertices: 200, Density: 0,2, Algorithm: BFS, Structure: Matrix: 1328,2580350000003 milliseconds
Vertices: 200, Density: 0,3, Algorithm: BFS, Structure: Matrix: 1941,6030650000005 milliseconds
Vertices: 200, Density: 0,4, Algorithm: BFS, Structure: Matrix: 2569,0819700000006 milliseconds
Vertices: 200, Density: 0,5, Algorithm: BFS, Structure: Matrix: 3184,51691 milliseconds
Vertices: 20, Density: 0,1, Algorithm: BFS, Structure: List: 0,8432049999999999 milliseconds
Vertices: 20, Density: 0,2, Algorithm: BFS, Structure: List: 0,6167199999999999 milliseconds
Vertices: 20, Density: 0,3, Algorithm: BFS, Structure: List: 0,616255 milliseconds
Vertices: 20, Density: 0,4, Algorithm: BFS, Structure: List: 0,5897199999999999 milliseconds
Vertices: 20, Density: 0,5, Algorithm: BFS, Structure: List: 0,6647549999999999 milliseconds
Vertices: 40, Density: 0,1, Algorithm: BFS, Structure: List: 1,75001 milliseconds
Vertices: 40, Density: 0,2, Algorithm: BFS, Structure: List: 1,815185 milliseconds
Vertices: 40, Density: 0,3, Algorithm: BFS, Structure: List: 1,9323950000000003 milliseconds
Vertices: 40, Density: 0,4, Algorithm: BFS, Structure: List: 1,9977399999999992 milliseconds
Vertices: 40, Density: 0,5, Algorithm: BFS, Structure: List: 1,8092250000000003 milliseconds
Vertices: 60, Density: 0,1, Algorithm: BFS, Structure: List: 3,7575450000000004 milliseconds
Vertices: 60, Density: 0,2, Algorithm: BFS, Structure: List: 3,6753249999999995 milliseconds
Vertices: 60, Density: 0,3, Algorithm: BFS, Structure: List: 3,92495 milliseconds
Vertices: 60, Density: 0,4, Algorithm: BFS, Structure: List: 3,7531949999999994 milliseconds
Vertices: 60, Density: 0,5, Algorithm: BFS, Structure: List: 4,036549999999999 milliseconds
Vertices: 80, Density: 0,1, Algorithm: BFS, Structure: List: 6,279919999999999 milliseconds
Vertices: 80, Density: 0,2, Algorithm: BFS, Structure: List: 6,162 milliseconds
Vertices: 80, Density: 0,3, Algorithm: BFS, Structure: List: 6,34455 milliseconds
Vertices: 80, Density: 0,4, Algorithm: BFS, Structure: List: 6,394325 milliseconds
Vertices: 80, Density: 0,5, Algorithm: BFS, Structure: List: 6,253380000000001 milliseconds
Vertices: 100, Density: 0,1, Algorithm: BFS, Structure: List: 9,035955 milliseconds
Vertices: 100, Density: 0,2, Algorithm: BFS, Structure: List: 9,382885 milliseconds
Vertices: 100, Density: 0,3, Algorithm: BFS, Structure: List: 9,56685 milliseconds
Vertices: 100, Density: 0,4, Algorithm: BFS, Structure: List: 9,600190000000001 milliseconds
Vertices: 100, Density: 0,5, Algorithm: BFS, Structure: List: 9,526429999999998 milliseconds
Vertices: 120, Density: 0,1, Algorithm: BFS, Structure: List: 12,651849999999998 milliseconds
Vertices: 120, Density: 0,2, Algorithm: BFS, Structure: List: 13,341445000000002 milliseconds
Vertices: 120, Density: 0,3, Algorithm: BFS, Structure: List: 12,879024999999999 milliseconds
Vertices: 120, Density: 0,4, Algorithm: BFS, Structure: List: 13,52818 milliseconds
Vertices: 120, Density: 0,5, Algorithm: BFS, Structure: List: 13,791680000000003 milliseconds
Vertices: 140, Density: 0,1, Algorithm: BFS, Structure: List: 17,210549999999998 milliseconds
Vertices: 140, Density: 0,2, Algorithm: BFS, Structure: List: 17,175085000000003 milliseconds
Vertices: 140, Density: 0,3, Algorithm: BFS, Structure: List: 18,058650000000004 milliseconds
Vertices: 140, Density: 0,4, Algorithm: BFS, Structure: List: 18,219074999999997 milliseconds
Vertices: 140, Density: 0,5, Algorithm: BFS, Structure: List: 18,63632 milliseconds
Vertices: 160, Density: 0,1, Algorithm: BFS, Structure: List: 23,018654999999995 milliseconds
Vertices: 160, Density: 0,2, Algorithm: BFS, Structure: List: 23,59611 milliseconds
Vertices: 160, Density: 0,3, Algorithm: BFS, Structure: List: 24,804609999999997 milliseconds
Vertices: 160, Density: 0,4, Algorithm: BFS, Structure: List: 24,753159999999998 milliseconds
Vertices: 160, Density: 0,5, Algorithm: BFS, Structure: List: 25,192695000000004 milliseconds
Vertices: 180, Density: 0,1, Algorithm: BFS, Structure: List: 29,540010000000002 milliseconds
Vertices: 180, Density: 0,2, Algorithm: BFS, Structure: List: 29,527250000000002 milliseconds
Vertices: 180, Density: 0,3, Algorithm: BFS, Structure: List: 30,242200000000004 milliseconds
Vertices: 180, Density: 0,4, Algorithm: BFS, Structure: List: 31,914165000000004 milliseconds
Vertices: 180, Density: 0,5, Algorithm: BFS, Structure: List: 31,350360000000002 milliseconds
Vertices: 200, Density: 0,1, Algorithm: BFS, Structure: List: 36,29 milliseconds
Vertices: 200, Density: 0,2, Algorithm: BFS, Structure: List: 37,150204999999985 milliseconds
Vertices: 200, Density: 0,3, Algorithm: BFS, Structure: List: 38,62693 milliseconds
Vertices: 200, Density: 0,4, Algorithm: BFS, Structure: List: 38,780975 milliseconds
Vertices: 200, Density: 0,5, Algorithm: BFS, Structure: List: 39,880084999999994 milliseconds
